word,target
abandon,meninggalkan
beneficial,bermanfaat
cautious,berhati-hati
dedicate,mendedikasikan
efficient,efisien
flexible,fleksibel
generate,menghasilkan
hostile,bersifat bermusuhan
impact,dampak
justice,keadilan
keen,antusias
limit,batas
maintain,mempertahankan
negotiate,bernegosiasi
obstacle,hambatan
participate,berpartisipasi
quote,kutipan
reliable,dapat dipercaya
sacrifice,berkorban
temporary,sementara
urge,mendesak
visible,terlihat
witness,saksi
yearn,mendambakan
zealous,sangat antusias
ambition,ambisi
barrier,penghalang
collapse,runtuh
devote,mencurahkan
evidence,bukti
frustrated,frustrasi
glimpse,sekilas
hesitate,ragu-ragu
identity,identitas
justify,membenarkan
knowledge,pengetahuan
landscape,pemandangan
motivate,memotivasi
noticeable,terlihat jelas
outcome,hasil
predict,memprediksi
require,memerlukan
satisfy,memuaskan
threat,ancaman
unite,menyatukan
vary,bervariasi
warn,memperingatkan
yield,menghasilkan
adapt,beradaptasi
bizarre,aneh
conclude,menyimpulkan
demonstrate,menunjukkan
enhance,meningkatkan
fascinate,memikat
grateful,bersyukur
highlight,menyoroti
ignore,mengabaikan
jealous,cemburu
knock,mengetuk
linger,berlama-lama
massive,besar sekali
neutral,netral
outstanding,luar biasa
persuade,membujuk
reputation,reputasi
sincere,tulus
tolerate,mentolerir
urgent,mendesak
verify,memverifikasi
withdraw,menarik
ambiguous,ambigu
brilliant,cemerlang
criticize,mengkritik
determine,menentukan
evaluate,mengevaluasi
frequent,sering
generous,murah hati
hesitation,keraguan
intense,intens
justice,keadilan
logical,logis
mature,dewasa
notice,memperhatikan
observe,mengamati
priority,prioritas
quantity,jumlah
relevant,relevan
solution,solusi
trustworthy,dapat dipercaya
update,memperbarui
volunteer,relawan
worth,bernilai
access,akses
burden,beban
conflict,konflik
depend,bergantung
emphasize,menekankan
focus,fokus
growth,pertumbuhan
honest,jujur
inform,memberitahu
judge,menilai
kindness,kebaikan
label,label
measure,mengukur
narrow,sempit
option,pilihan
progress,kemajuan
reflect,merefleksikan
select,memilih
task,tugas
unique,unik
value,nilai
wonder,bertanya-tanya
achieve,mencapai
balance,keseimbangan
comfort,kenyamanan
decide,memutuskan
expand,memperluas
focus,memusatkan
goal,tujuan
honor,kehormatan
improve,memperbaiki
judge,hakim
keep,menyimpan
listen,mendengarkan
mention,menyebutkan
notice,menyadari
oppose,menentang
prevent,mencegah
react,bereaksi
respect,menghormati
struggle,berjuang
trust,mempercayai
understand,memahami
vote,memilih
warn,memperingatkan
accept,menerima
blame,menyalahkan
celebrate,merayakan
deliver,mengantar
encourage,mendorong
fail,gagal
gather,mengumpulkan
help,membantu
invite,mengundang
join,bergabung
laugh,tertawa
mention,menyebutkan
notice,memperhatikan
offer,menawarkan
prepare,mempersiapkan
question,bertanya
remind,mengingatkan
support,mendukung
thank,berterima kasih
understand,mengerti
visit,mengunjungi
win,menang
act,bertindak
believe,percaya
change,mengubah
decide,memutuskan
enjoy,menikmati
feel,merasa
give,memberi
hope,berharap
include,termasuk
learn,belajar
move,bergerak
need,membutuhkan
open,membuka
pay,membayar
read,membaca
say,mengatakan
try,mencoba
use,menggunakan
view,melihat
wait,menunggu
x-ray,sinar-x
yell,berteriak
zoom,memperbesar
She abandoned him.,Dia meninggalkannya
It feels beneficial.,Ini terasa bermanfaat
Be very cautious.,Sangat berhati-hatilah
He dedicated time.,Dia mendedikasikan waktu
It’s highly efficient.,Itu sangat efisien
Stay flexible always.,Selalu tetap fleksibel
Generate more ideas.,Hasilkan lebih banyak ide
They were hostile.,Mereka bersikap bermusuhan
Powerful impact there.,Dampak kuat di sana
Justice was served.,Keadilan telah ditegakkan
She’s very keen.,Dia sangat antusias
Maintain your pace.,Pertahankan ritmemu
They negotiated well.,Mereka bernegosiasi dengan baik
Huge obstacle ahead.,Hambatan besar di depan
He participated fully.,Dia berpartisipasi sepenuhnya
Famous quote today.,Kutipan terkenal hari ini
He’s always reliable.,Dia selalu dapat dipercaya
Parents sacrifice daily.,Orang tua berkorban setiap hari
Just a temporary fix.,Hanya perbaikan sementara
Sudden urge came.,Dorongan tiba-tiba datang
Visible from here.,Terlihat dari sini
I witnessed it.,Saya menyaksikannya
She yearns peace.,Dia mendambakan kedamaian
He’s truly zealous.,Dia benar-benar bersemangat
Her ambition grows.,Ambisinya tumbuh
The bridge collapsed.,Jembatan itu runtuh
Evaluate it carefully.,Evaluasi dengan hati-hati
Frequent mistakes happen.,Kesalahan sering terjadi
Never hesitate again.,Jangan ragu lagi
Intense moment there.,Momen yang intens di sana
Don’t abandon hope.,Jangan tinggalkan harapan
He negotiated calmly.,Dia bernegosiasi dengan tenang
Maintain your focus.,Pertahankan fokusmu
They seem hostile.,Mereka tampak bermusuhan
It was impactful.,Itu berdampak besar
A temporary break.,Istirahat sementara
She’s very reliable.,Dia sangat dapat diandalkan
Avoid frequent errors.,Hindari kesalahan yang sering
Keen to help.,Antusias untuk membantu
I felt pressure.,Saya merasa tertekan
Obstacle was huge.,Hambatannya besar
Their justice matters.,Keadilan mereka penting
We need flexibility.,Kita butuh fleksibilitas
He sacrificed a lot.,Dia banyak berkorban
A strong urge.,Dorongan yang kuat
Peace feels distant.,Damai terasa jauh
Don’t quote me.,Jangan kutip saya
They evaluate daily.,Mereka mengevaluasi setiap hari
She’s quite zealous.,Dia cukup bersemangat
Impact was visible.,Dampaknya terlihat

