word,target
abundant,berlimpah
catalyst,katalisator
diligent,tekun
endeavor,usaha
facilitate,mempermudah
genuine,asl
hinder,menghalangi
imperative,penting
jeopardize,mengancam
kinetic,kinetik
lucid,jelas
meticulous,cermat
negligible,tidak signifikan
oblivious,tak sadar
precarious,berbahaya
quaint,unik
relinquish,melepaskan
serene,tenang
thrive,berkembang
unprecedented,tak tertandingi
vulnerable,rentan
zeal,semangat
autonomous,otonom
belligerent,agresif
contemplate,merenung
discrepancy,ketidaksesuaian
elaborate,menjelaskan
fathom,memahami
gracious,ramah
harness,memanfaatkan
intricate,rumit
juxtapose,menyandingkan
kinship,ikatan
lament,meratap
manifest,terwujud
nuance,nuansa
omnipotent,maha kuasa
paradigm,paradigma
quintessential,terpenting
resilient,tangguh
succinct,jelas dan padat
transcend,mengatasi
usurp,merebut
vindicate,membenarkan
warrant,membenarkan
yearn,merindukan
zealous,penuh semangat
articulate,mengungkapkan dengan jelas
cogent,meyakinkan
dormant,tidur
embellish,memperindah
formidable,hebat
genuine,asli
harbinger,penanda
She is diligent.,Dia sangat tekun.
This is imperative.,Ini sangat penting.
His efforts will thrive.,Usahanya akan berkembang.
They are genuine friends.,Mereka adalah teman asli.
This is an unprecedented event.,Ini adalah peristiwa tak tertandingi.
The river is abundant.,Sungai ini berlimpah.
Hinder your progress.,Menghalangi kemajuanmu.
This is a catalyst.,Ini adalah katalisator.
It is precarious.,Ini sangat berbahaya.
The task is intricate.,Tugas ini rumit.
The answer is lucid.,Jawabannya jelas.
We need to facilitate it.,Kita perlu mempermudahnya.
His plan was meticulous.,Rencananya sangat cermat.
Don't jeopardize your future.,Jangan mengancam masa depanmu.
They are oblivious.,Mereka tidak sadar.
She is resilient.,Dia tangguh.
The project will manifest.,Proyek ini akan terwujud.
The situation is precarious.,Situasinya berbahaya.
The system is autonomous.,Sistem ini otonom.
We must relinquish it.,Kita harus melepaskannya.
They are belligerent.,Mereka agresif.
He tried to contemplate.,Dia mencoba merenung.
There is a discrepancy.,Ada ketidaksesuaian.
Her behavior is gracious.,Perilakunya ramah.
You must articulate clearly.,Kamu harus mengungkapkan dengan jelas.
She felt zealous.,Dia merasa semangat.
The task is formidable.,Tugas itu hebat.
This situation is precarious.,Situasi ini berbahaya.
This is a paradigm.,Ini adalah paradigma.
He is omnipotent.,Dia maha kuasa.
We should juxtapose them.,Kita harus menyandingkannya.
They are kinship.,Mereka memiliki ikatan.
The house is quaint.,Rumah itu unik.
They mourned deeply.,Mereka meratap dengan dalam.
The mountain is a harbinger.,Gunung itu adalah penanda.
This is a nuance.,Ini adalah nuansa.
You need to harness it.,Kamu perlu memanfaatkannya.
The answer is cogent.,Jawabannya meyakinkan.
This is a rare opportunity.,Ini adalah kesempatan langka.
I feel vulnerable now.,Saya merasa rentan sekarang.
He will vindicate her.,Dia akan membenarkan dia.
Don't usurp my rights.,Jangan merebut hak saya.
The truth is manifest.,Kebenaran terwujud.
The tree is dormant.,Pohon itu tidur.
We should embellish it.,Kita harus memperindahnya.
They have kinship.,Mereka memiliki ikatan.
The document is cogent.,Dokumen itu meyakinkan.
He will transcend it.,Dia akan mengatasinya.
Her ambition is zealous.,Ambisinya sangat semangat.
